Amborella trichopoda
Ambrella longituba
Ambrosina bassii
Amelanchier alnifolia
Amelanchier arborea
Amelanchier asiatica
Amelanchier interior
Amelanchier lamarckii
Amelanchier sanguinea
Amelanchier sp.
Amentotaxus argotaenia
Amentotaxus formosana
Amentotaxus yunnanensis
Amesiella minor
Amesiella monticola
Amesiella philippinensis
Ammi majus
Ammobium calyceroides
Ammophila arenaria
Ammophila breviligulata
Amomum / Alpinia sp.
Amomum cinnamomeum
Amomum lutescens
Amomum maximum
Amomum pterocarpum
Amomum sp.
Amomum subulatum
Amomum unifolium
Amorpha canescens
Amorpha fruticosa
Amorpha herbacea
Amorpha nana
Amorpha ouachitensis
Amorphophallus albus
Amorphophallus arnautovii
Amorphophallus atroviridis
Amorphophallus bulbifer
Amorphophallus claudelii
Amorphophallus dunnii
Amorphophallus eburneus
Amorphophallus gallaensis
Amorphophallus henryi
Amorphophallus hewittii
Amorphophallus interruptus
Amorphophallus konjac
Amorphophallus krausei
Amorphophallus lewallei
Amorphophallus muellerii
Amorphophallus obscurus
Amorphophallus ochroleucus
Amorphophallus opertus
Amorphophallus paeoniifolius
Amorphophallus sp.
Amorphophallus stipitatus
Amorphophallus taurostigma
Amorphophallus variabilis
Amorphophallus yuloensis
Amorphophallus yunnanensis
Ampelocissus abyssinica
Ampelodesmos mauritanicus
Ampelopsis aconitifolia
Ampelopsis brevipedunculata
Ampelopsis cordata
Ampelopsis delavayana
Ampelopsis humulifolia
Ampelopsis megalophylla
Ampelopsis orientalis
Ampelopsis sp.
Amsonia arenaria
Amsonia ciliata
Amsonia eastwoodiana
Amsonia elliptica
Amsonia fugatei
Amsonia hubrichtii
Amsonia hybr.
Amsonia illustris
Amsonia jonesii
Amsonia ludoviciana
Amsonia palmeri
Amsonia peeblesii
Amsonia tabernaemontana
Amsonia tharpii
Amsonia tomentosa
Amydrium medium
Amydrium zippelianum
Amygdalus kansuensis
Amygdalus sp.
Anacampseros albissima
Anacampseros arachnoides
Anacampseros coahuilensis
Anacampseros dielsiana
Anacampseros filamentosa
Anacampseros gracilis
Anacampseros herreana
Anacampseros kalitzdorfii
Anacampseros karasmontana
Anacampseros lanceolata
Anacampseros mallei
Anacampseros marlothii
Anacampseros namaquensis
Anacampseros papyracea
Anacampseros pisina
Anacampseros prominens
Anacampseros quinaria
Anacampseros retusa
Anacampseros rufescens
Anacampseros telephiastrum
Anacampseros ustulata
Anacampseros vanthielii
Anacardium occidentale
Anacyclus radiatus
Anadenanthera colubrina
Anagallis monelli
Anagyris foetida
Anacheilium baculus
Anacheilium cochleatum
Anacheilium ionophlebium
Ananas ananassoides
Ananas comosus
Anaphalis sp.
Anathallis bocainensis
Anathallis obovata
Ancistrochilus rothschildianus
Andrachne colchica
Andrachne sp.
Andromeda polifolia
Andropogon gerardii
Andropogon glomeratus
Andropogon hallii
Andropogon scoparius
Andropogon ternarius
Anemia dregeana
Anemia mexicana
Anemone altaica
Anemone apennina
Anemone blanda
Anemone canadensis
Anemone coronaria
Anemone cylindrica
Anemone eranthoides
Anemone flaccida
Anemone hybr.
Anemone knowltonia
Anemone leveillei
Anemone magellanica
Anemone multifida
Anemone nemorosa
Anemone poilanei
Anemone pseudoaltaica
Anemone raddeana
Anemone ranunculoides
Anemone sp.
Anemone sylvestris
Anemone trifolia
Anemone virginiana
Anemone x lipsiensis
Anemonella thalictroides
Anemonopsis macrophylla
Anemopaegma chamberlaynii
Anemopsis californica
