taxon_name_original,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Paeonia intermedia,BestMatch,9.41215,Exact,0,Paeonia intermedia,Paeonia intermedia C.A.Mey. ex Ledeb.,Paeonia intermedia,4BYB5,Paeonia intermedia C.A.Mey. ex Ledeb.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia intermedia,
Paeonia intersectional-hybr.,BestMatch,9.41215,Exact,0,Paeonia intersectional-hybr.,Paeonia L.,Paeonia,6C8P,Paeonia L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia,
Paeonia japonica,BestMatch,9.41180,Exact,0,Paeonia japonica,Paeonia japonica (Makino) Miyabe & H.Takeda,Paeonia japonica,4BYB6,Paeonia obovata Maxim.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia obovata,
Paeonia kesrouanensis,BestMatch,9.41215,Exact,0,Paeonia kesrouanensis,Paeonia kesrouanensis (J.Thiébaut) J.Thiébaut,Paeonia kesrouanensis,4BYB9,Paeonia kesrouanensis (J.Thiébaut) J.Thiébaut,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia kesrouanensis,
Paeonia lactiflora,BestMatch,9.41215,Exact,0,Paeonia lactiflora,Paeonia lactiflora Pall.,Paeonia lactiflora,6TKNH,Paeonia lactiflora Pall.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia lactiflora,
Paeonia lithophila,BestMatch,9.41180,Exact,0,Paeonia lithophila,Paeonia lithophila Kotov,Paeonia lithophila,4BYBJ,Paeonia tenuifolia L.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia tenuifolia,
Paeonia ludlowii,BestMatch,9.41215,Exact,0,Paeonia ludlowii,Paeonia ludlowii (Stern & G.Taylor) D.Y.Hong,Paeonia ludlowii,4BYBP,Paeonia ludlowii (Stern & G.Taylor) D.Y.Hong,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia ludlowii,
Paeonia lutea,BestMatch,9.41180,Exact,0,Paeonia lutea,Paeonia lutea Delavay ex Franch.,Paeonia lutea,4BYBT,Paeonia delavayi subsp. lutea (Delavay ex Franch.) B.A.Shen,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia delavayi|Paeonia delavayi lutea,
Paeonia macrophylla,BestMatch,9.41215,Exact,0,Paeonia macrophylla,Paeonia macrophylla (Albov) Lomakin,Paeonia macrophylla,75KNH,Paeonia macrophylla (Albov) Lomakin,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia macrophylla,
Paeonia mairei,BestMatch,9.41215,Exact,0,Paeonia mairei,Paeonia mairei H.Lév.,Paeonia mairei,4BYBV,Paeonia mairei H.Lév.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia mairei,
Paeonia mascula,BestMatch,9.41215,Exact,0,Paeonia mascula,Paeonia mascula (L.) Mill.,Paeonia mascula,4BYBX,Paeonia mascula (L.) Mill.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia mascula,
Paeonia mlokosewitschii,BestMatch,9.41215,Exact,0,Paeonia mlokosewitschii,Paeonia mlokosewitschii Lomakin,Paeonia mlokosewitschii,4BYC2,Paeonia mlokosewitschii Lomakin,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia mlokosewitschii,
Paeonia mlokosewitschii x russoi,SortedMatch,0.0,NoMatch,,Paeonia mlokosewitschii x russoi,,,,,,,,,
Paeonia mollis,BestMatch,9.41180,Exact,0,Paeonia mollis,Paeonia mollis G.Anderson,Paeonia mollis,9KKL3,Paeonia officinalis subsp. officinalis,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia officinalis|Paeonia officinalis officinalis,
Paeonia obovata,BestMatch,9.41215,Exact,0,Paeonia obovata,Paeonia obovata Maxim.,Paeonia obovata,4BYC8,Paeonia obovata Maxim.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia obovata,
Paeonia officinalis,BestMatch,9.41215,Exact,0,Paeonia officinalis,Paeonia officinalis L.,Paeonia officinalis,4BYC9,Paeonia officinalis L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia officinalis,
Paeonia ostii,BestMatch,9.41215,Exact,0,Paeonia ostii,Paeonia ostii T.Hong & J.X.Zhang,Paeonia ostii,4BYCC,Paeonia ostii T.Hong & J.X.Zhang,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia ostii,
Paeonia papaveracea x ostii,SortedMatch,0.0,NoMatch,,Paeonia papaveracea x ostii,,,,,,,,,
Paeonia peregrina,BestMatch,9.41215,Exact,0,Paeonia peregrina,Paeonia peregrina Mill.,Paeonia peregrina,4BYCL,Paeonia peregrina Mill.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia peregrina,
Paeonia rockii,BestMatch,9.41215,Exact,0,Paeonia rockii,Paeonia rockii (S.G.Haw & Lauener) T.Hong & J.J.Li ex D.Y.Hong,Paeonia rockii,4BYCX,Paeonia rockii (S.G.Haw & Lauener) T.Hong & J.J.Li ex D.Y.Hong,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia rockii,
Paeonia ruprechtiana,BestMatch,9.41180,Exact,0,Paeonia ruprechtiana,Paeonia ruprechtiana Kem.-Nath.,Paeonia ruprechtiana,4BYD5,Paeonia caucasica (Schipcz.) Schipcz.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia caucasica,
Paeonia russoi,BestMatch,9.41180,Exact,0,Paeonia russoi,Paeonia russoi Biv.,Paeonia russoi,4BYD6,Paeonia mascula subsp. russoi (Biv.) Cullen & Heywood,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia mascula|Paeonia mascula russoi,
Paeonia saueri,BestMatch,9.41180,Exact,0,Paeonia saueri,"Paeonia saueri D.Y.Hong, Xiao Q.Wang & D.M.Zhang",Paeonia saueri,4BYD8,Paeonia peregrina Mill.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia peregrina,
Paeonia sp.,BestMatch,8.63917,Exact,0,Paeonia sp.,Paeonia L.,Paeonia,6C8P,Paeonia L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia,
Paeonia sterniana,BestMatch,9.41215,Exact,0,Paeonia sterniana,Paeonia sterniana H.R.Fletcher,Paeonia sterniana,4BYDG,Paeonia sterniana H.R.Fletcher,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia sterniana,
Paeonia steveniana,BestMatch,9.41180,Exact,0,Paeonia steveniana,Paeonia steveniana Kem.-Nath.,Paeonia steveniana,4BYDH,Paeonia macrophylla (Albov) Lomakin,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia macrophylla,
Paeonia suffruticosa,BestMatch,9.41215,Exact,0,Paeonia suffruticosa,Paeonia × suffruticosa Andrews,Paeonia × suffruticosa,75KNT,Paeonia × suffruticosa Andrews,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia suffruticosa,
Paeonia szechuanica,BestMatch,9.41180,Exact,0,Paeonia szechuanica,Paeonia szechuanica W.P.Fang,Paeonia szechuanica,4BYDJ,Paeonia × suffruticosa Andrews,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia suffruticosa,
Paeonia tenuifolia,BestMatch,9.41215,Exact,0,Paeonia tenuifolia,Paeonia tenuifolia L.,Paeonia tenuifolia,4BYDL,Paeonia tenuifolia L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Paeoniaceae|Paeonia|Paeonia tenuifolia,
Paeonia tenuifolia x obovata,SortedMatch,0.0,NoMatch,,Paeonia tenuifolia x obovata,,,,,,,,,
